Product ID,VN Name,EN Name,Brand,Category,Actual Price,Discount Price,Discount Rate,Variant,Star,Rating,Sold,Link
126032,Dầu Xả Elastine Phục Hồi Tóc Hư Tổn 855ml,Amino Protein Clinic Damage Care Conditioner,Elastine,Chăm Sóc Tóc Và Da Đầu / Dầu Gội Và Dầu Xả / Dầu Xả,195000,156000,20,855ml,0.0,0,4.0,https://hasaki.vn/san-pham/dau-xa-elastine-phuc-hoi-toc-hu-ton-855ml-126032.html
104179,Combo 10 Mặt Nạ Foodaholic Vitamin K Se Lỗ Chân Lông 23gx10,Derma Ac Control Mask With Vitamin K,Foodaholic,Chăm Sóc Da Mặt / Mặt Nạ / Mặt Nạ Giấy,150000,80000,47,10 miếng,0.0,0,8.0,https://hasaki.vn/san-pham/combo-10-mat-na-foodaholic-vitamin-k-se-lo-chan-long-23gx10-104179.html
100967,Lăn Khử Mùi Nivea Shaveless Ngọc Trai Đẹp Quyến Rũ 50ml,Pearl & Beauty Shaveless,Nivea,Chăm Sóc Cơ Thể / Khử Mùi,92000,89000,3,50ml,0.0,0,7.0,https://hasaki.vn/san-pham/lan-ngan-mui-nivea-shaveless-ngoc-trai-dep-quyen-ru-50ml-100967.html
101825,Phấn Mắt Silkygirl 4 Ô Có Nhũ 02 Tông Cam Hồng,Full Bloom Shadow Quad #02 Poppy Haze,Silkygirl,Trang Điểm / Trang Điểm Mắt / Phấn Mắt,168000,84000,50,6.4g,5.0,2,8.0,https://hasaki.vn/san-pham/phan-mat-silkygirl-4-o-co-nhu-02-poppy-haze-101825.html
2976,Miếng Dán Mũi Lột Mụn Purederm Nha Đam (3 Miếng),Nose Pore Strips Aloe,Purederm,Chăm Sóc Da Mặt / Đặc Trị / Hỗ Trợ Trị Mụn,26000,23000,12, 3 miếng,4.0,2,27.0,https://hasaki.vn/san-pham/mat-na-lot-mun-cam-mui-purederm-nha-dam-3-mieng-goi-2976.html
125968,Chì Kẻ Mày & Kẻ Mắt MiraCulous Màu 1 Đen,Secret Pen Maker,Miraculous,Trang Điểm / Trang Điểm Mắt / Kẻ Mày,72000,61000,15,1 cây,5.0,4,11.0,https://hasaki.vn/san-pham/chi-ke-may-miraculous-2-dau-mau-1-den-d256-125968.html
101371,Combo La Roche-Posay Xịt Khoáng Da Dầu Mụn 150ml + Kem Chống Nắng Kiềm Dầu 50ml,Serozinc Zinc + Anthelios UV Mune 400 Oil Control Gel-Cream,La Roche-Posay,Chăm Sóc Da Mặt / Bộ Chăm Sóc Da Mặt,840000,620000,26,2 món,0.0,0,1.0,https://hasaki.vn/san-pham/combo-la-roche-posay-xit-khoang-da-dau-mun-150ml-kem-chong-nang-kiem-dau-spf50-50ml-101371.html
113475,"Mặt Nạ Lebelage Ngọc Trai Cấp Ẩm, Dưỡng Sáng Da 25g",Pearl Solution Mask Pack,Lebelage,Chăm Sóc Da Mặt / Mặt Nạ / Mặt Nạ Giấy,15000,8000,47,25g,3.0,1,78.0,https://hasaki.vn/san-pham/mat-na-lebelage-ngoc-trai-cap-am-duong-sang-da-25g-113475.html
104569,Dầu Gội Khô Girlz Only Dành Cho Tóc Nhuộm Sáng Màu 200ml,Dry Shampoo For Blondes,Girlz Only,Chăm Sóc Tóc Và Da Đầu / Dầu Gội Và Dầu Xả / Dầu Gội Khô,175000,88000,50,200ml,4.1,24,7.0,https://hasaki.vn/san-pham/dau-goi-kho-girlz-only-danh-cho-toc-nhuom-sang-mau-200ml-104569.html
75792,Cọ Tán Phấn Mắt Vacosi Đầu Bầu Nhọn E16,Full Blender Brush,Vacosi,Trang Điểm / Dụng Cụ Trang Điểm / Cọ Trang Điểm,49000,41000,16,,4.8,8,15.0,https://hasaki.vn/san-pham/co-tan-phan-mat-vacosi-e16-75792.html
121752,"Combo Sữa Tắm Grace And Glow Rouge 540 Tẩy Da Chết 400ml + English Pear Giảm Mụn, Mẩn Đỏ 400ml",Rouge 540 Scrub Solution + English Pear & Freesia Anti Acne Body Wash,Grace And Glow,Chăm Sóc Cơ Thể / Sữa Tắm,278000,150000,46,2x400ml,0.0,0,5.0,https://hasaki.vn/san-pham/combo-sua-tam-grace-and-glow-rouge-540-tay-da-chet-400ml-english-pear-giam-mun-man-do-400ml-121752.html
